Nome ITA,Tipologia ITA,Nome latino,Descrizione ITA,Areale di distribuzione,Area protetta raggruppamento cc biodiversità,Livello di Conservazione,Specie bandiera,Regioni,Nome ENG,Tipologia ENG,Descrizione ENG
Abete bianco,Conifere,Abies alba,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Alpi orientali e dorsale appenninica,Riserva Naturale Biogenetica Vallombrosa,Minor preoccupazione (LC),si,"Trentino, Friuli-Venezia Giulia, Emilia-Romagna, Marche, Umbria, Lazio, Abruzzo, Molise, Puglia",,,
Scarpetta di venere,Fiori,Cypripedium calceolus,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Arco alpino e Appennino,Riserva Naturale piani eteRiserva Naturalei (Rep CC Belluno),Minor preoccupazione (LC),si,"Piemonte, Lombardia, Trentino, Veneto, Friuli-Venezia Giulia, Emilia-Romagna, Toscana, Umbria, Marche, Abruzzo, Lazio, Molise, Campania, Basilicata, Calabria",,,
Faggio,Latifoglie,Fagus sylvatica,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Alpi e Appennini,Riserva Naturale Orientata Montedimezzo,Non applicabile (NA),si,"Lombardia, Trentino, Veneto, Friuli-Venezia Giulia, Emilia-Romagna, Toscana, Umbria, Marche, Abruzzo, Lazio, Molise, Campania, Basilicata, Calabria, Sicilia, Sardegna",,,
Ginestra graziosa,,Genista pulchella,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",,,In pericolo critico (CR),si,,,,
Pino Calabro,,Pinus halepensis,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",,,Non applicabile (NA),si,,,,
Pino loricato,Conifiere,Pinus heldreichii,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Pollino,Riserva naturale Valle del Fiume Argentino,Minor preoccupazione (LC),si,"Calabria, Basilicata",,,
Fragno,Latifoglie,Quercus trojana,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Puglia e Basilicata,Riserva Naturale Orientata Murge Orientali,Minor preoccupazione (LC),si,"Puglia, Basilicata",,,
Felce bulbifera,Felci,Woodwardia radicans,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
","Calabria, Sicilia, Campania, Ischia",Riserva Naturale Orientata Valle delle Ferriere,In pericolo (EN),si,"Calabria, Sicilia, Campania",,,
Abete rosso,Conifiere,Picea abies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Alpi e appennino tosco-emiliano,Riserva Naturale Orientata Val Trovanella,Minor preoccupazione (LC),no,"Toscana, Emilia-Romagna",,,
Aquilegia della majella,Fiori,Aquilegia magellensis,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Appennino centrale,Riserva Naturale Piana Grande della Majelleta,Quasi minacciata (NT),no,"Toscana, Umbria, Marche, Lazio, Abruzzo, Molise",,,
Frassino,Latifoglie,Fraxinus excelsior,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Ovunque,Riserva Naturale I Pisconi,Quasi minacciata (NT),no,"Lombardia, Trentino, Veneto, Friuli-Venezia Giulia, Emilia-Romagna, Toscana, Umbria, Marche, Abruzzo, Lazio, Molise, Campania, Basilicata, Calabria, Sicilia, Sardegna, Piemonte, Liguria, Puglia, Val d'Aosta",,,
Genziana appenninica,Fiori,Gentiana dinarica,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
","Marche, Lazio, Abruzzo, Umbria, Molise",Riserva naturale Monte Velino,Non applicabile (NA),no,"Marche, Lazio, Abruzzo, Umbria, Molise",,,
Maggiociondolo,,Laburnum anagyroides Medik,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",,,Minor preoccupazione (LC),no,,,,
Stella Alpina,Fiori,Leontopodium alpinum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Arco Alpino,Riserva Naturale Integrale Monte Faverghera,Minor preoccupazione (LC),no,"Piemonte, Lombardia, Trentino, Veneto, Friuli-Venezia Giulia",,,
Orchide Italiana,,Orchis italica Poir,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",,,Minor preoccupazione (LC),no,,,,
Peonia Italica,Fiori,Peonia  officinalis subsp. Italica,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
","Friuli Venezia Giulia, Lombardia, Veneto",Riserva Naturale Feudo Intramonti,Minor preoccupazione (LC),no,"Friuli-Venezia Giulia, Lombardia, Veneto",,,
Giglio marino,Arbusti,Pancratium maritimum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Dune costiere tranne Friuli Venezia Giulia,"Riserva Naturale Comprensorio di Fogliano -Laghi di Fogliano,Monaci e di Caprolace",Non applicabile (NA),no,"Liguria, Toscana, Lazio, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna",,,
Fillirea,,Phyllirea latifolia L.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",,,Minor preoccupazione (LC),no,,,,
Pino d'Aleppo,Conifere,Pinus halepensis,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
","Puglia, Liguria, Marche, Sicilia",Riserva Naturale Biogenetica StoRiserva Naturaleara e Marinella,Minor preoccupazione (LC),no,"Puglia, Liguria, Marche, Sicilia",,,
Pino mugo,Conifere,Pinus mughus,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
","Arco alpino, prealpi lombarde -venete , Abruzzo",Riserva Naturale Monte Velino,Minor preoccupazione (LC),no,"Lombardia, Veneto, Trentino-Alto Adige/Südtirol, Friuli-Venezia Giulia, Piemonte",,,
Lentisco,Arbusti,Pistacia lentiscus,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
",Bacino del Mediterraneo,Riserva Naturale Biogenetica Tombolo di Cecina,Minor preoccupazione (LC),no,"Puglia, Calabria, Sicilia, Sardegna, Campania",,,
Leccio,Latifoglie,Quercus ilex,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras eget scelerisque mi. Quisque mattis tristique turpis, non tempor ex mattis interdum. Morbi placerat, eros nec aliquam dapibus, orci lacus scelerisque odio, nec imperdiet felis ipsum at sapien. Aliquam erat volutpat. Nullam vitae dignissim erat. Nam vel purus eu ligula porta tempor quis mattis elit. Aliquam ultrices risus sed elit velit.
","Isole, lungo coste liguri tirreniche e ioniche",Riserva Forestale di Protezione e Biogenetica Duna Feniglia,Minor preoccupazione (LC),no,"Sicilia, Sardegna, Liguria, Toscana, Lazio, Campania, Calabria, Puglia, Basilicata",,,
