Nome ITA,Tipologia ITA,Nome latino,Descrizione ITA,Areale di distribuzione,Area protetta raggruppamento cc biodiversita,Livello di Conservazione,Specie bandiera,Regione,Nome ENG,Tipologia ENG,Descrizione ENG,Livello di Conservazione ENG
Abete bianco,Conifere,Abies alba,"Raggiunge i 40-50 m di altezza, ma sono stati misurati abeti alti oltre 60 m. Ha una chioma densa di colore verde scuro con riflessi argentei dovuti al colore degli aghi nella pagina inferiore. Le foglie sono aghi persistenti fino a 9-10 anni, inserite  a spirale e disposte in vario modo sul rametto, e sono caratterizzate da due linee argentee e cerose nella pagina inferiore ai due lati della nervatura centrale. Coni eretti, che si disarticolano a maturità. Può superare i 300 anni di età.",Alpi orientali e dorsale appenninica,Riserva Naturale Biogenetica Vallombrosa,Minor preoccupazione (LC),si,"Trentino,Friuli-Venezia Giulia,Emilia-Romagna,Marche,Umbria,Lazio,Abruzzo,Molise,Puglia",Silver Fir,Conifers,"Reaching a height of 40-50 mt., fir trees have been found to measure over 60 mt. in hight. It has a dense, dark green crown with silvery highlights due to the colour of the needles on the underside. The hearty needles live up to 9-10 years, spirally inserted and arranged in various ways on the twig, and are characterised by two silvery, waxy lines on the underside on either side of the midrib. Erect cones fall at maturity. It can exceed 300 years of age.",Least concern
Scarpetta di venere,Fiori,Cypripedium calceolus,"Una delle più grandi orchidee d’Italia, ha un fiore molto vistoso, grande circa 10 cm, costituito da tepali rosso-bruno lunghi fino a 6 cm e un labello giallo oro appariscente, lungo fino a 4 cm. La forma del labello ricorda quella di una pantofola, da cui il nome comune della pianta. Caratterizzata, come molte orchidee, da un particolare fusto sotterraneo detto rizoma che ogni anno emette radici e fusti avventizi.",Arco alpino e Appennino,Riserva Naturale piani eteRiserva Naturalei (Rep CC Belluno),Minor preoccupazione (LC),si,"Piemonte,Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria",Venus Slipper,Flowers,"One of the largest orchids in Italy, it has a especially eye-catching flower, about 10 cm large, consisting of red-brown petals up to 6 cm long and a striking golden yellow labellum up to 4 cm long. The shape of the labellum resembles that of a slipper, hence the plant's name. Characterised, like many orchids, by a peculiar underground stem called rhizome that emits adventitious roots and stems every year.",Least concern
Faggio,Latifoglie,Fagus sylvatica,"Può arrivare ad un’altezza di 40 m, è mediamente longevo (200-300 anni). Le foglie sono semplici, alterne, caduche, verde chiaro anche con sfumature purpuree, lunghe 4-9 cm con margine intero e ondulato. Il frutto, commestibile, viene chiamato faggiola e a maturità (settembre-ottobre) è di colore marrone. La corteccia è di colore grigio chiaro, è liscia con striature orizzontali.",Alpi e Appennini,Riserva Naturale Orientata Montedimezzo,Non applicabile (NA),si,"Lombardia,Trentino,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana,Umbria,Marche,Abruzzo,Lazio,Molise,Campania,Basilicata,Calabria,Sicilia,Sardegna",European Beech,Hardwoods,"It can reach a height of 40 mt. and has an average life span (200-300 years). The leaves are simple, alternating, deciduous, light green also with purple shades, 4-9 cm long with an entire, wavy boarder. The beech fruit is edible and is brown when ripe (September-October). The bark is light grey and smooth with horizontal streaks.",Not applicable
Ginestra graziosa,Arbusti e felci,Genista pulchella,"Piccolo arbusto con fiori gialli a portamento quasi strisciante, è una tra le specie di ginestre più rare e a rischio di estinzione in Italia.",Abruzzo,Foresta Demaniale Chiarino,In pericolo critico (CR),si,Abruzzo,Pretty Broom,Shrubs and ferns,"A small shrub with yellow flowers and an almost vine-like behaviour, it is one of the rarest and most endangered broom species in Italy.",Critically endangered
Pino Calabro,Conifere,Pinus halepensis,"Di orgine orientale, è ampiamente coltivato per rimboschimento. Caratterizzato da coni sessili, ovvero attaccati direttamente al ramo, e da aghi duri, di colore verde scuro, lunghi 10-18 cm.. Come tutti i pini è specie monoica.  Questa specie produce molti semi e colonizza facilmente aree aperte e disturbate.","Campania, Calabria, Sardegna, Friuli",Riserva Naturale  Biogenetica di Bibbona,Non applicabile (NA),si,"Campania,Calabria,Sardegna,Friuli-Venezia Giulia",Calabrian Pine,Conifers,"Of eastern origin, it is widely cultivated for reforestation. Characterised by sessile cones, i.e. attached directly to the branch, and hard, dark green needles 10-18 cm long. Like all pines it is a monoecious species. This species produces many seeds and easily colonises open, disturbed areas.",Not applicable
Pino loricato,Conifere,Pinus heldreichii,"Pino di grandi dimensioni e molto longevo, può arrivare a 20 m di altezza. La corteccia adulta è colore grigio cenerino, gli aghi hanno un colore verde brillante e sono rigidi e pungenti, riuniti in fascetti di due. Gli strobili giovani sono di colore viola intenso, poi diventano bruno giallastri e cadono. La corteccia fessurandosi in caratteristiche placche poligonali ricorda nell'aspetto la corazza degli antichi romani.",Pollino,Riserva naturale Valle del Fiume Argentino,Minor preoccupazione (LC),si,"Calabria,Basilicata",Pino loricato,Conifers,"A large and long-lived pine tree, it can grow up to 20 mt. in height. The adult bark is ash grey in colour, the needles are bright green and stiff and prickly, grouped in clusters of two. The young strobilus are deep purple in colour, then turn yellowish brown and fall off. The bark cracks into characteristic polygonal plates reminiscent in appearance of the armour of the ancient Romans.",Least concern
Fragno,Latifoglie,Quercus trojana,"Piccola quercia che può raggiungere i 15 m di altezza, allo stato spontaneo può avere portamento quasi arbustivo. La chioma è globosa ed ha una forma espansa in orizzontale; le foglie sono coriacee e lucide, lunghe fino a 9 cm. L’albero in veste invernale ha un colore rosso-ruggine riconoscibile anche da lontano. La grossa ghianda è racchiusa in una caratteristica cupola spinosa, molto spessa, simile a quella del cerro.",Puglia e Basilicata,Riserva Naturale Orientata Murge Orientali,Minor preoccupazione (LC),si,"Puglia,Basilicata",Fragno,Hardwoods,"A small oak that can grow up to 15 mt. high, in the wild it can have an almost shrub-like habit. The crown is globular and horizontally expanded; the leaves are leathery and glossy, up to 9 cm long. In the winter the tree has a rust-red colour that is recognisable even from a distance. The large acorn is enclosed in a characteristic, very thick, spiny dome similar to that of the Turkey oak.",Least concern
Felce bulbifera,Arbusti e felci,Woodwardia radicans,"Caratterizzata da enormi fronde che raggiungono i 3 m di lunghezza, è una felce rigogliosa dal portamento elegante. Una caratteristica che la distingue, è la capacità di formare bulbilli sulla parte apicale del rachide fogliare, da cui il nome felce bulbifera. Tali bulbilli danno origine a nuovi individui per propagazione vegetativa, che radicano a terra quando l’apice delle fronde tocca il terreno umido.","Calabria, Sicilia, Campania, Ischia",Riserva Naturale Orientata Valle delle Ferriere,In pericolo (EN),si,"Calabria,Sicilia,Campania",European chern fern,Shrubs and ferns,"Characterised by huge fronds reaching up to 3 m in length, it is a lush fern with an elegant habit. A distinguishing feature is its ability to form bulbs on the apex of the leaf stem, hence the name bulbiferous fern. These bulbs, which root in the ground when the leaf apex touches moist soil, give rise to the reproduction of new vegetation.",Endangered
Abete rosso,Conifere,Picea abies,"Ha fusto dritto e slanciato che puoò raggiungere i 50-60 metri di altezza, corteccia sottile e rossastra nei giovani e foglie con aghi lunghi 15-25 mm a sezione tetragonale o romboidale, generalmente tutti attorno al rametto; coni maschili all'apice dei rametti dell'anno precedente e coni femminili all'apice dei rametti laterali: strobili cilindrici, penduli, con squame sottili e coriacee.",Alpi e appennino tosco-emiliano,Riserva Naturale Orientata Val Trovanella,Minor preoccupazione (LC),no,"Toscana,Emilia-Romagna",Red Fir,Conifers,"It has a straight, slender stem that can reach 50-60 mt. in height, thin, reddish bark in the young and leaves with 15-25 mm long needles with a tetragonal or rhomboidal cross-section, usually all around the branch; male cones at the apex of the previous year's branches and female cones at the apex of the lateral branches: cylindrical, pendulous strobili with thin, leathery scales.",Least concern
Aquilegia della majella,Fiori,Aquilegia magellensis,"Pianta perenne alta fino a 45 cm, ha una rosetta di foglie addensate nella porzione inferiore del fusto. I fiori sono lunghi 3-4 cm, da viola pallido ad azzurro chiaro fino a quasi bianchi, con caratteristici nettarii provvisti di sperone.",Appennino centrale,Riserva Naturale Piana Grande della Majelleta,Quasi minacciata (NT),no,"Toscana,Umbria,Marche,Lazio,Abruzzo,Molise",Majella Aquilegia,Flowers,"Perennial plant up to 45 cm high, has a rosette of leaves thickened in the lower portion of the stem. The flowers are 3-4 cm long, pale purple to light blue to almost white, with characteristic nectar spur.",Near threatened
