Classe,N.,Nome comune,Nome latino,RIFERIMENTO NORMATIVO,ALLEGATI,AREALE DI DISTRIBUZIONE,AREA PROTETTA RAGGRUPPAMENTO CC BIODIVERSITA',DESCRIZIONE
Mammiferi,1,Lupo,Canis lupus,Direttiva 92/43/CEE,"II, IV",Dorsale appenninica,Foresta Demaniale Parco Nazionale della Calabria - Sila Piccola,
Mammiferi,2,Orso,Ursus arctos,Direttiva 92/43/CEE,"II, IV","Abruzzo, Lazio Molise",Riserva Naturale Feudo Intramonti ,aaaaaaaa
Mammiferi,3,Lince,Linx linx,Direttiva 92/43/CEE,"II, IV",Alpi orientali,Foresta Demaniale di TARVISIO,bbbbbbbbbb
Mammiferi,4,Gatto selvatico,Felis silvestris,Direttiva 92/43/CEE,"II, IV","Area centro meridionale, Sicilia e Sardegna",Riserva Naturale Camaldoli,ccccccccccc
Mammiferi,5,Camoscio d'Abruzzo,Rupicapra pyrenaica,Direttiva 92/43/CEE,"II, IV","Abruzzo (Gran sasso, Monti della Laga, Majella, Pn Abruzzo)",Riserva Naturale Colle di Licco ,dddddddd
Mammiferi,6,Cervo della Mesola,Cervus elaphus italicus,,,Emilia Romagna,Riserva Naturale Bosco della Mesola,eeeeeeeeee
Mammiferi,7,Capra di Montecristo,Capra aegagrus,,,Isola di Montecristo,Riserva Naturale Montecristo,fffffffffffffffff
Mammiferi,8,Capriolo italico,Capreolus capreolus italicus,,,Arco Alpino e Appennino settentrionale,Riserva Naturale Foresta Umbra,gggggggggggg
Mammiferi,9,Lontra,Lutra lutra,Direttiva 92/43/CEE,"II, IV","Campania, Basilicata, Puglia, Calabria",Riserva Naturale Metaponto,hhhhhhhhhhhhh
Mammiferi,10,Barbastello,Barbastella barbastellus,Direttiva 92/43/CEE,"II, IV",Ovunque,Foresta Demaniale di Val di Canneto,iiiiiiiiiiiiiii
Mammiferi,11,Rinolofo maggiore ,Rhinolophus ferrumequinum,Direttiva 92/43/CEE,"II, IV",Ovunque,Riserva Naturale Badia Prataglia,lllllllllllllllllllllll
Mammiferi,12,Rinolofo minore, Rhinolophus hipposideros ,Direttiva 92/43/CEE,"II, IV",Ovunque,Riserva Naturale Integrale Sasso Fratino,mmmmmmmm
Mammiferi,13,Istrice,Hystrix cristata,Direttiva 92/43/CEE,IV,Dalla Liguria fino al Sud Italia e Sicilia,Riserva naturale Saline di Tarquinia,n
Mammiferi,14,Martora,Martes martes,Direttiva 92/43/CEE,V,Ovunque,Riserva Naturale Orientata e Biogenetica Monte Mottac,o
Mammiferi,15,Moscardino,Muscardinus avellanariuus,Direttiva 92/43/CEE,IV,Ovunque,Riserva naturale Biogenetica Macchia della Giumenta - San Salvbatore,p
Mammiferi,16,Quercino,Eliomys quercinus,,,Ovunque,Riserva naturale Biogenetica Marchesale,
Mammiferi,17,Driomio,Dryomys nitedula,Direttiva 92/43/CEE,IV,Alpi orientali e appennino calabrese,Foresta demaniale Alto Aspromonte,
Mammiferi,18,Mustiolo,Suncus etruscus,,,Ovunque tranne Alpi,Riserva Naturale Vallombrosa,
Mammiferi,19,Foca monaca,Monachus monachus,Direttiva 92/43/CEE,"II, IV","Avvistamenti in Sardegna, Isola di Montecristo, Sicilia  e Jonio",Riserva Natural Biogenetica Isola di Montecristo,
Mammiferi,20,Coniglio selvatico,Oryctolagus cuniculus,,,Sardegna Sicilia e isole minori,Riserva Naturale Orecchiella,
Uccelli,21,Fratino,Charadrius alexandrinus,Direttiva 2009/147/CEE,I,Ovunque,Riserva Naturale Orientata Sacca di Bellocchio II,
Uccelli,22,Starna,Perdix perdix,Direttiva 2009/147/CEE,I,Italia centrale,Riserva Naturale Orecchiella,
Uccelli,23,Picchio nero,Dryocopus martius,Direttiva 2009/147/CEE,I,Alpi ,Riserva Naturale Orientata Somadida,
Uccelli,24,Picchio Dalmatino,Dendrocopos leucotos,Direttiva 2009/147/CEE,I,Abruzzo e Gargano,Riserva Naturale Foresta Umbra,
Uccelli,25,Capovaccaio,Nephron percnopterus,Direttiva 2009/147/CEE,I,"Basilicata, Calabria, Sicilia",Riserva Naturale Gole del Raganello,
Uccelli,26,Barbagianni,Tyto alba,,,Ovunque tranne Alpi,Riserva Naturale Saline di Tarquinia,
Uccelli,27,Assiolo,Otus scops,,,Ovunque,Riserva Naturale Orientata Grotticelle,
Uccelli,28,Civetta,Athene noctua,,,Ovunque tranne Alpi,Riserva Naturale Statale Bosco Fontana,
Uccelli,29,Gufo reale,Bubo bubo,Direttiva 2009/147/CEE,I,Ovunque tranne in Sicilia,Riserva Naturale Antropologica Monte Croccia,
Uccelli,30,Allocco,Strix aluco,,,Ovunque tranne in Salento,Riserva Naturale Orientata e Biogenetica Agoraie di Sopra e Moggetto,
Uccelli,31,Falco pellegrino,Falco peregrinus,Direttiva 2009/147/CEE,I,Ovunque,Riserva Naturale Orientata San Martino-Palombaro,
Uccelli,32,Lanario,Falco biarmicus,Direttiva 2009/147/CEE,I,"Regioni centro-meridionali, Sicilia",Foresta demaniale del Chiarino,
Uccelli,33,Grifone,Gyps fulvus,Direttiva 2009/147/CEE,I,"Sardegna, Sicilia, Calabria, Basilicata",Riserva Naturale Monte Velino,
Uccelli,34,Aquila Reale,Aquila chrysaetos,Direttiva 2009/147/CEE,I,Catena Alpina e appenninica,R. N. Biogenetica Piano degli ONTANI ,
Uccelli,35,Gallo Cedrone,Tetrao urogallus,Direttiva 2009/147/CEE,I,Alpi e prealpi ,R. N. Orientata e Biogenetica SOMADIDA,
Uccelli,36,Fenicottero,Phoenicopterus roseus,Direttiva 2009/147/CEE,I,"Emilia Romagna, Puglia, Sardegna, Sicilia, Toscana e Veneto",Riserva Naturale di Popolamento Animale Salina di Margherita di Savoia,
Uccelli,37,Cavaliere d'Italia,Himantopus himantopus,Direttiva 2009/147/CEE,I,"Sardegna, Sicilia, salina di Comacchio","Riserva Naturale Comprensorio di Fogliano -Laghi di Fogliano,Monaci e di Caprolace",
Uccelli,38,Frinquello Alpino,Montifringilla nivalis,,,Catena Alpina,Riserva Naturale di Popolamento Animale Lago di Campodosto,
Rettili,39,Colubro liscio,Coronella austriaca,Direttiva 92/43/CEE,IV,Dorsale appenninica,Riserva Naturale Abetone,
Rettili,40,Ramarro,Lacerta bilineata,Direttiva 92/43/CEE,IV,Ovunque,Riserva Naturale Biogenetica Gallopane,
Rettili,41,Lucertola muraiola,Podarcis muralis,Direttiva 92/43/CEE,IV,Ovunque,Riserva Naturale Montefalcone,
Rettili,42,Orbettino,Anguis fragilis,,,Ovunque,Riserva Naturale Montefalcone,
Rettili,43,Cervone,Elaphe quatuorlineata,Direttiva 92/43/CEE,"II, IV","Puglia, Basilicata, Lazio, Toscana",Riserva Naturale Biogenetica San Cataldo,
Rettili,44,Biacco,Hierophis viridiflavus,Direttiva 92/43/CEE,IV,Ovunque,Riserva Naturale Scarlino,
Rettili,45,Vipera orsini,Vipera ursinii,Direttiva 92/43/CEE,"II, IV",Abruzzo,Riserva Naturale Orientata Monte Velino,
Rettili,46,Testuggine palustre,Emys orbicularis,Direttiva 92/43/CEE,"II, IV","Lazio, Puglia",Riserva Naturale Saline di Tarquinia,
Rettili,47,Tartaruga marina,Caretta caretta,,,Costa italia meridionale,Riserva Naturale Biogenetica Metaponto,
Anfibi,48,Salamandra alpina,Salamandra atra atra,Direttiva 92/43/CEE,IV,"Veneto, Friuli",Riserve Naturali Statali Rio Bianco,
Anfibi,49,Salamandrina meridionale,Salamandrina terdigitata,Direttiva 92/43/CEE,"II, IV","Lazio, Campania, Basilicata, Calabria",Riserva Naturale Valle delle Ferriere,
Anfibi,50,Rana appenninica,Rana italica,Direttiva 92/43/CEE,IV,Appennino,Riserva Biogenetica Golia- Corvo,
Anfibi,51,Raganella italiana,Hyla intermedia,Direttiva 92/43/CEE,IV,Ovunque,Riserva Naturale Biogenetica Serra Nicolino -Piano dell'albero,
Anfibi,52,Tritone crestato italiano,Triturus carniflex,Direttiva 92/43/CEE,"II, IV",Ovunque,Riserva Naturale Statale Vallombrosa,
Anfibi,53,Ululone dal ventre giallo,Bombina variegata,Direttiva 92/43/CEE,"II, IV",Ovunque,Riserva Naturale Orientata Quarto Santa Chiara,
Anfibi,54,Geotritone italiano,Speleomantes italicus,,,Ovunque  con concentrazione in Sardegna,Riserva Statale Orrido di Botri,
Pesci,55,Trota marmorata,Salmo marmoratus,Direttiva 92/43/CEE,II,Veneto,Riserva Naturale Statale Vincheto di Celarda,
Pesci,56,Vairone,Leuciscus souffia,Direttiva 92/43/CEE,II,Lazio,Riserva Naturale Statale Tocchi,
Pesci,57,Cobite fluviale,Cobites taenia,Direttiva 92/43/CEE,II,Lazio,Riserva Naturale Statale Po di volano,
Pesci,58,Lampreda,Petromizon marinus,Direttiva 92/43/CEE,"II, IV","veneto, marche",Riserva Naturale Foce di Bevano,
Pesci,59,Storione cobice,Acipenser naccarii,Direttiva 92/43/CEE,"II, IV",Emilia veneto,Riserva Naturale Statale Po di volano,
Pesci,60,Rodeo,Rhodeus  amarus,Direttiva 92/43/CEE,II,Lazio,Riserva naturale comprensorio di Fogliano,
Crostacei,61,Gambero di fiume,Austropotamobius pallipes,Direttiva 92/43/CEE,"II, IV",Friuli Toscana Abruzzo,Riserva Naturale Badia Prataglia,
Insetti,62,Farfalla,Parnassius apollo,Direttiva 92/43/CEE,IV,"Lazio, Abruzzo, F",Riserva Naturale Biogenetica Pania di Corfino,
Insetti,63,Libellula,Cordulegaster trinacrie,Direttiva 92/43/CEE,"II, IV","Calabria, Basilicata",Riserva Naturale Orientata Valle del fiume Argentino,
Insetti,64,Cerambice del faggio,Rosalia alpina,Direttiva 92/43/CEE,"II, IV","Lazio, Abruzzo, Toscana, Emilia, Veneto",R.N. Biogenetica Bosco Fontana,
Insetti,65,Cervo volante,Lucanus cervus,Direttiva 92/43/CEE,II,Toscana,Riserva Naturale Orientata Vincheto di Celarda,
Insetti,66,Osmoderma,Osmoderma  eremita,Direttiva 92/43/CEE,"II, IV","Lazio, Abruzzo, Toscana, Emilia, Veneto",Riserva Naturale demaniale del Circeo,
Insetti,67,Cerambicide,Cerambyx cerdo,Direttiva 92/43/CEE,"II, IV","Lazio, Abruzzo, Toscana, Emilia, Veneto",Riserva Naturale Biogenetica Bosco Fontana,
Insetti,68,Cerambicide,Morimus asper funereus,Direttiva 92/43/CEE,II,Friuli ,Riserva Naturale demaniale del Circeo,
Insetti,69,Bramea,Acanthobrahmaea europea,Direttiva 92/43/CEE,II,Potenza,Riserva Naturale Orientata Grotticella,
